exercise,body part,goal,reps(each side),sets,duration,image,music,level,equipment
Pull Ups,"middle, lower back",strength,,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,Begginer,body
Push-Ups,chest,strength,12-Aug,3,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,Begginer,body
Pyramid Pose,full-body,flexibility ,,,,assets/images/pyramid.jpeg,assets/audio/workout-172774.mp3,,
Reclined Hand to Big Toe Pose,stretch,flexibility ,,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,,
Reverse Lunge,strength,strength,,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,,
Reverse Lunge With Knee Drive,plyometric ,weight loss,5,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,,
Running ,full-body,strength,,,20-30 min,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,,
Side Leg Swings,lower-body,strength,,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,,
Side to Side Push Ups,chest,strength,,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,Beginner,body
Side to Side Shuffle,plyometric ,weight loss,10,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,,
Sideways Leg Lift,strength,strength,,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,,
Sit-To-Stand,strength,strength,5,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,,
Skaters,lower-body,cardio,10,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,Beginner,body
Squats,strength,endurance,12-Aug,3,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,Beginner,barbell
Supine Twist ,stretch,flexibility ,,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,,
Triangle Pose,stretch,flexibility ,,,,assets/images/triangle.jpeg,assets/audio/workout-172774.mp3,,
Tricep Dips,triceps,strength,12-Aug,3,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,Intermediate,body
Vertical Jump,lower-body,strength,,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,Intermediate,body
Walking Lunge,lower-body,strength,,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,Intermediate,body
Walk Sqaut,lower-body,strength,13-Aug,3,,assets/images/walking lunges.jpeg,assets/audio/workout-172774.mp3,Intermediate,body
Walking Lunges,strength,strength,12-Aug,3,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,Intermediate,body
Wall Press-Up,shoulders,strength,,,,assets/images/half_moon_pose.jpeg,assets/audio/workout-172774.mp3,Intermediate,body
Wall Walk,shoulders,strength,,,,assets/images/warm-up.jpg,assets/audio/workout-172774.mp3,Intermediate,body
Warrior Push-Up,chest,strength,,,,assets/images/warm-up.jpg,assets/audio/workout-172774.mp3,Intermediate,body
Warm-Up: 5-10 Minutes of Light Cardio,all,warmup,,,5-10 min,assets/images/warm-up.jpg,assets/audio/workout-172774.mp3,all,body
Wide-Leg Forward Fold,strength,muscle gain,12-Aug,3,,assets/images/zotman-curl.jpg,assets/audio/workout-172774.mp3,,
Zottman Curl,lower-body,strength,,,,assets/images/zotman-curl.jpg,assets/audio/workout-172774.mp3,Internediate,body
